?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/PHIPO_0000652>	"A growth phenotype which describes the resistance of individuals or populations after exposure to rapamycin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0015849>	"The directed movement of organic acids, any acidic compound containing carbon in covalent linkage, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/CHEBI_39232>		
<http://purl.obolibrary.org/obo/PHIPO_0000404>	"A phenotype that shows detectable differences from normal at the level of an individual cell."	"FYPO:0003037"
<http://purl.obolibrary.org/obo/CHEBI_33856>	"An amino acid whose structure includes an aromatic ring."	"KEGG:C01021 Wikipedia:Aromatic_amino_acid"
<http://purl.obolibrary.org/obo/GO_0005575>	"A location, relative to cellular compartments and structures, occupied by a macromolecular machine. There are three types of cellular components described in the gene ontology: (1) the cellular anatomical entity where a gene product carries out a molecular function (e.g., plasma membrane, cytoskeleton) or membrane-enclosed compartments (e.g., mitochondrion); (2) virion components, where viral proteins act, and (3) the stable macromolecular complexes of which gene product are parts (e.g., the clathrin complex)."	"NIF_Subcellular:sao1337158144"
<http://purl.obolibrary.org/obo/CHEBI_38808>	"A membrane transport modulator that is able to regulate intracellular calcium levels."	
<http://purl.obolibrary.org/obo/PHIPO_0001098>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to a specific stress. Typically, individuals or populations are deemed sensitive to a stress if they stop growing (and may die) when exposed to the stress at an intensity that allows an individual or population of wild type cell(s) to grow and divide."	"FYPO:0002549 FYPO:0000304"
<http://purl.obolibrary.org/obo/CHEBI_33662>	"A mancude monocyclic hydrocarbon without side chains of the general formula CnHn (n is an even number) or CnHn+1 (n is an odd number). In systematic nomenclature an annulene with seven or more carbon atoms may be named [n]annulene, where n is the number of carbon atoms."	
<http://purl.obolibrary.org/obo/GO_0005515>	"Binding to a protein."	"Reactome:R-HSA-9866132"
<http://purl.obolibrary.org/obo/PHIPO_0000609>	"A growth phenotype which describes the resistance of individuals or populations after exposure to nalidixic acid. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_87132>	"A member of the class of morpholines that has significant antifungal properties."	
<http://purl.obolibrary.org/obo/CHEBI_18367>	"A phosphate ion that is the conjugate base of hydrogenphosphate."	"Wikipedia:Phosphate Gmelin:1997 PDBeChem:PO4 CAS:14265-44-2 Reaxys:3903772 KEGG:C00009"
<http://purl.obolibrary.org/obo/PHIPO_0001012>	"A pathogen host interaction phenotype which affects the localization of a polysaccharide in a pathogen or host cell is abnormal. This includes any process in which a polysaccharide is transported to, or maintained in, a specific location. (GO:0033037)."	
<http://purl.obolibrary.org/obo/PHIPO_0001014>	"A pathogen host interaction phenotype, in which the level of host produced callose deposition usually present during infection is higher than normal."	
<http://purl.obolibrary.org/obo/CHEBI_140345>	"Any polyunsaturated fatty acid carrying one or more hydroxy substituents."	
<http://purl.obolibrary.org/obo/CHEBI_38166>		
<http://purl.obolibrary.org/obo/IAO_0000030>		
<http://purl.obolibrary.org/obo/CHEBI_24869>	"A compound which can carry specific ions through membranes of cells or organelles."	"Wikipedia:Ionophore"
<http://purl.obolibrary.org/obo/PHIPO_0000152>	"A single organism (molecular function??) phenotype in which occurrence of RNA binding by a gene product is abnormal, when a gene or the bound RNA sequence is mutated. The affected gene product may be encoded by the mutated gene, or by a different gene."	"FYPO:0002132"
<http://purl.obolibrary.org/obo/GO_0007034>	"The directed movement of substances into, out of or within a vacuole."	
<http://purl.obolibrary.org/obo/CHEBI_39231>		"Beilstein:8671728"
<http://purl.obolibrary.org/obo/CHEBI_131605>	"A carboxylic acid anion resulting from the deprotonation of the carboxy group of a dicarboxylic acid monoester."	
<http://purl.obolibrary.org/obo/PHIPO_0000201>	"A pathogen (molecular function??) phenotype in which the binding of one protein to a protein complex is normal (i.e. indistinguishable from wild type). The protein whose binding to the protein complex is assayed may be encoded by the mutated gene, or may be encoded by a different gene."	"FYPO:0005232"
<http://purl.obolibrary.org/obo/CHEBI_40909>	"An aryloxypyrimidine having a 4,6-diphenoxypyrimidine  skeleton in which one of the phenyl rings is cyano-substituted at C-2 and the other carries a 2-methoxy-1-(methoxycarbonyl)vinyl substituent, also at C-2. An inhibitor of mitochondrial respiration by blocking electron transfer between cytochromes b and c1, it is used widely as a fungicide in agriculture."	"PMID:25090100 PMID:24125711 PMID:24405376 PMID:21884765 Pesticides:azoxystrobin PMID:25011117 PMID:21671616 PMID:24726979 Wikipedia:Azoxystrobin PMID:24700092 PMID:25196149 PDBeChem:AZO PPDB:54 CAS:131860-33-8 PMID:22278367 PMID:22092932 KEGG:C18558 PMID:22224459 PMID:20818521 PMID:21777591 Patent:US5395837 PMID:21153804 Reaxys:8350244 Patent:EP382375"
<http://purl.obolibrary.org/obo/PATO_0000912>	"A rate which is relatively high."	
<http://purl.obolibrary.org/obo/CHEBI_139592>	"An alpha-hydroxy ketone in which the carbonyl group and the hydroxy group are linked by a carbon bearing two organyl groups."	
<http://purl.obolibrary.org/obo/GO_0061659>	"Catalysis of the transfer of a ubiquitin-like protein (ULP) to a substrate protein via the reaction X-ULP + S = X + S-ULP, where X is either an E2 or E3 enzyme, the X-ULP linkage is a thioester bond, and the S-ULP linkage is an isopeptide bond between the C-terminal glycine of ULP and the epsilon-amino group of lysine residues in the substrate."	
<http://purl.obolibrary.org/obo/GO_0008152>	"A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."	"Wikipedia:Metabolism Reactome:R-HSA-1430728"
<http://purl.obolibrary.org/obo/PHIPO_0001337>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to fluazinam. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_62031>	"Zwitterionic form of a polar amino acid having an anionic carboxy group and a protonated amino group."	"MetaCyc:Polar-amino-acids"
<http://purl.obolibrary.org/obo/GO_0022613>	"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."	
<http://purl.obolibrary.org/obo/CHEBI_38298>		
<http://purl.obolibrary.org/obo/GO_0030397>	"The controlled breakdown of any cell membrane in the context of a normal process such as autophagy."	
<http://purl.obolibrary.org/obo/PHIPO_0000621>	"A growth phenotype which describes the resistance of individuals or populations after exposure to gatifloxacin. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_22728>		
<http://purl.obolibrary.org/obo/PHIPO_0001151>	"A host morphology phenotype where the size of the host is normal (indistinguishable from wild type) during pathogen invasion."	
<http://purl.obolibrary.org/obo/CHEBI_32952>	"A compound formally derived from ammonia by replacing one, two or three hydrogen atoms by hydrocarbyl groups."	"KEGG:C00706"
<http://purl.obolibrary.org/obo/CHEBI_15841>	"A peptide containing ten or more amino acid residues."	"KEGG:C00403"
<http://purl.obolibrary.org/obo/GO_0008219>	"Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538)."	
<http://purl.obolibrary.org/obo/CHEBI_50903>	"A role played by a chemical compound which is known to  induce a process of carcinogenesis  by corrupting  normal cellular pathways, leading to the acquistion of tumoral capabilities."	
<http://purl.obolibrary.org/obo/PHIPO_0001168>	"A pathogen host interaction phenotype, in which the host immune response protease activity is inhibited by the pathogen."	
<http://purl.obolibrary.org/obo/GO_0106110>	"The chemical reactions and pathways resulting in the formation of type B trichothecene vomitoxin, also known as deoxynivalenol, a poisonous substance produced by some species of fungi and predominantly occurs in grains such as wheat, barley and oats."	
<http://purl.obolibrary.org/obo/GO_2001141>	"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."	
<http://purl.obolibrary.org/obo/PHIPO_0000797>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to caspofungin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_63046>	"The chemical role played by a substance that stabilizes an emulsion by increasing its kinetic stability."	
<http://purl.obolibrary.org/obo/CHEBI_38260>	"Any of a class of heterocyclic amines having a saturated five-membered ring."	
<http://purl.obolibrary.org/obo/CHEBI_582124>	"An amino acid-based antibiotic derived from certain thermophilic fungi; acts as a potent inhibitor of serine palmitoyltransferase, the first step in sphingosine biosynthesis. Myriocin also possesses immunosuppressant activity."	"PMID:33731109 PMID:8020136 PMID:32091078 PMID:33558761 PMID:33378044 PMID:33441497 PDBeChem:VRP AGR:IND607305181 PMID:24456332 PMID:23659342 PMID:30123648 PMID:32954686 PMID:21456524 PMID:23802886 PMID:23957439 PMID:24141140 Wikipedia:Myriocin LIPID_MAPS_instance:LMFA01060203 PMID:31447688 KEGG:C19914 PMID:23178537 PMID:33482299 PMID:24395529 PMID:31639005 Reaxys:5113331 KNApSAcK:C00016936 PMID:28621883 PMID:27621809 PMID:30883241 PMID:31701696 PMID:5076310 PMID:4694226 PMID:34324668 PMID:15679316 CAS:35891-70-4 PMID:32435178 PMID:32212314"
<http://purl.obolibrary.org/obo/PHIPO_0000544>	"A growth phenotype which describes the resistance of individuals or populations after exposure to cycloheximide. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_83752>	"The (2S,3R)-stereoisomer of 2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol."	
<http://purl.obolibrary.org/obo/CHEBI_28240>	"A monocarboxylic acid anion that is the conjugate base of dichloroacetic acid."	"CAS:13425-80-4 MetaCyc:CPD-9674 PMID:21153705 Gmelin:200685 Reaxys:3903873 UM-BBD_compID:c0012"
<http://purl.obolibrary.org/obo/PHIPO_0001318>	"A growth phenotype which describes the absence of change of individuals or populations after exposure to metalaxyl (i.e. indistinguishable from wild type)."	
<http://purl.obolibrary.org/obo/PHIPO_0001285>	"A pathogen host interaction phenotype, in which the level of host defense-related RNA usually present during infection is higher than normal."	
<http://purl.obolibrary.org/obo/PHIPO_0000069>	"A reproductive morphology phenotype where the size of the sexual spore is decreased."	
<http://purl.obolibrary.org/obo/CHEBI_16716>	"A six-carbon aromatic annulene in which each carbon atom donates one of its two 2p electrons into a delocalised pi system. A toxic, flammable liquid byproduct of coal distillation, it is used as an industrial solvent. Benzene is a carcinogen that also damages bone marrow and the central nervous system."	"PDBeChem:BNZ PMID:14677922 PMID:15935818 CAS:71-43-2 PMID:23222815 PMID:12857942 PMID:19228219 PMID:6353911 PMID:17373369 PMID:8124204 PMID:11993966 Reaxys:969212 PMID:18407866 HMDB:HMDB0001505 PMID:18836923 PMID:11684179 KEGG:C01407 PMID:18072742 PMID:21325737 PMID:15468289 PMID:23534829 Gmelin:1671 PMID:16161967 PMID:18409691 UM-BBD_compID:c0142 PMID:23088855 Wikipedia:Benzene"
<http://purl.obolibrary.org/obo/PATO_0000460>	"A quality inhering in a bearer by virtue of the bearer's deviation from normal or average."	
<http://purl.obolibrary.org/obo/PHIPO_0000383>	"A growth phenotype which describes the resistance of individuals or populations after exposure to carbendazim. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_33231>	"A substance that kills or slows the growth of Mycobacterium tuberculosis and is used in the treatment of tuberculosis."	
<http://purl.obolibrary.org/obo/CHEBI_23414>	"A metal sulfate compound having copper(2+) as the metal ion."	"Gmelin:8294 Wikipedia:Copper(II)_sulfate KEGG:C18713 CAS:7758-98-7 PMID:29079364 PPDB:178 PMID:10469300 PMID:8566016"
<http://purl.obolibrary.org/obo/CHEBI_45373>	"A sulfonamide in which the sulfamoyl functional group is attached to aniline at the 4-position."	"PMID:23561569 Reaxys:511852 KEGG:D08543 PMID:22974493 Gmelin:83068 PMID:23065453 Beilstein:511852 PMID:23294218 LINCS:LSM-6524 KEGG:C07458 PMID:22342371 HMDB:HMDB0014404 PMID:23476893 CAS:63-74-1 VSDB:1924 DrugBank:DB00259 PMID:22214209 PMID:2420897 PMID:23061287 PDBeChem:SAN Wikipedia:Sulfanilamide PMID:23122138 PMID:9639594 Drug_Central:2521"
<http://purl.obolibrary.org/obo/CHEBI_2571>	"An  alcohol derived from an aliphatic compound."	"KEGG:C02525"
<http://purl.obolibrary.org/obo/PHIPO_0000339>	"A pathogen host interaction colonization phenotype in which the occurrence of the directional movement of the pathogen within the host organism is decreased compared to normal."	
<http://purl.obolibrary.org/obo/CHEBI_87205>	"Any pyrimidine antifungal agent that has been used for the treatment of fungal infections in humans or animals."	
<http://purl.obolibrary.org/obo/PATO_0045047>	"A resistance to a stimulus which is relatively normal or average"	
<http://purl.obolibrary.org/obo/PHIPO_0000631>	"A growth phenotype which describes the resistance of individuals or populations after exposure to cefepime. Typically, organisms are deemed resistant to a chemical if they survive at a concentration of the chemical that does not allow wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0001218>	"A growth phenotype which describes the sensitivity, resistance or absence of change of individuals or populations after exposure to a specific chemical."	
<http://purl.obolibrary.org/obo/CHEBI_83813>	"Any of the 23 alpha-amino acids that are precursors to proteins, and are incorporated into proteins during translation. The group includes the 20 amino acids encoded by the nuclear genes of eukaryotes together with selenocysteine, pyrrolysine, and N-formylmethionine. Apart from glycine, which is non-chiral, all have L configuration."	"Wikipedia:Proteinogenic_amino_acid"
<http://purl.obolibrary.org/obo/GO_0006996>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."	"Reactome:R-HSA-1852241"
<http://purl.obolibrary.org/obo/PHIPO_0001307>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to a non-ionic osmotic stress. Typically, individuals or populations are deemed sensitive to a stress if they stop growing (and may die) when exposed to the stress at an intensity that allows an individual or population of wild type cell(s) to grow and divide."	"FYPO:0002811"
<http://purl.obolibrary.org/obo/CHEBI_81822>	"A pyridinecarboxamide obtained by formal condensation of the carboxy group of 2-chloronicotinic acid with the amino group of 4'-chlorobiphenyl-2-amine. A fungicide active against a broad range of fungal pathogens including Botrytis spp., Alternaria spp. and Sclerotinia spp. for use on a wide range of crops including fruit, vegetables and ornamentals."	"PMID:24936710 Reaxys:10092464 PMID:24901961 KEGG:C18547 CAS:188425-85-6 Pesticides:boscalid PMID:24711278 PPDB:86 PMID:24893153 PMID:24380616"
<http://purl.obolibrary.org/obo/CHEBI_35819>	"Any fatty acid in which the parent hydrocarbon chain has one or more alkyl substituents; a common component in animal and bacterial lipids. The fatty acyl chain is usually saturated and the substituent a methyl group; however, unsaturated BCFAs are found in marine animals, and branches other than methyl are found in microbial lipids."	"KEGG:C05996 PMID:18318842"
<http://purl.obolibrary.org/obo/CHEBI_51270>	"Compounds containing a tetracene skeleton."	
<http://purl.obolibrary.org/obo/PHIPO_0000254>	"A pathogen host interaction phenotype in which the localization of an RNA in a cell is normal (i.e. indistinguishable from wild type)."	"FYPO:0003058"
<http://purl.obolibrary.org/obo/CHEBI_59349>	"The conjugate acid of cefepime."	"Beilstein:5196242"
<http://purl.obolibrary.org/obo/PHIPO_0000258>	"A pathogen host interaction phenotype in which a specific transport process is abnormal."	"FYPO:0001720"
<http://purl.obolibrary.org/obo/CHEBI_23849>	"Any terpenoid derived from a diterpene. The term includes compounds in which the C20 skeleton of the parent diterpene has been rearranged or modified by the removal of one or more skeletal atoms (generally methyl groups)."	"LIPID_MAPS_class:LMPR0104"
<http://purl.obolibrary.org/obo/CHEBI_13643>	"A diol in which the two hydroxy groups are on different carbon atoms, usually but not necessarily adjacent."	
<http://purl.obolibrary.org/obo/CHEBI_24848>	"Any cyclohexane-1,2,3,4,5,6-hexol."	
<http://purl.obolibrary.org/obo/CHEBI_59831>	"An  acetylenic and an olefinic  compound containing a carbon chain that contains a carbon-carbon double bond and a carbon-carbon triple bond."	
<http://purl.obolibrary.org/obo/PHIPO_0000277>		
<http://purl.obolibrary.org/obo/PATO_0000169>	"An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population."	
<http://purl.obolibrary.org/obo/CHEBI_61774>	"An enzyme inhibitor that inhibits the action of inositol phosphorylceramide synthase."	"PMID:19644519 PMID:17420565 PMID:19644518 PMID:17420564 PMID:19662087"
<http://purl.obolibrary.org/obo/CHEBI_81923>	"A racemate comprising an equimolar mixture of (R)- and (S)-flutriafol. A systemic fungicide, it is used to control fungal diseases in cereal crops."	"PMID:20533452 Pesticides:76674-21-0 CAS:76674-21-0 PMID:25376483 Pesticides:flutriafol PMID:21740052 PMID:18178235 PMID:24611465 PMID:22983725 KEGG:C18734 PMID:25300182 PMID:22885544 PMID:23208429 Reaxys:7141682 Patent:EP15756"
<http://purl.obolibrary.org/obo/GO_0051955>	"Any process that modulates the frequency, rate or extent of the directed movement of amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/CHEBI_131609>	"An echinocandin initially isolated as a very minor bioactive fermentation product of Glarea lozoyensis (originally known as Zalerion arboricola). Subsequent random mutagenesis work and optimisation of the fermentation medium permitted the industrial production of pneumocandin B0, which is used as the starting point for the synthesis of the antifungal drug caspofungin."	"Reaxys:9316734 CAS:135575-42-7 PMID:24086376 Wikipedia:Pneumocandin_Bo PMID:24270605 PMID:25527531"
<http://purl.obolibrary.org/obo/GO_0009966>	"Any process that modulates the frequency, rate or extent of signal transduction."	
<http://purl.obolibrary.org/obo/CHEBI_36756>	"A sesquiterpene that is dodecane substituted by methyl groups at positions 2, 6 and 10."	"CAS:3891-98-3 Patent:US2008098645 Reaxys:1719672 MetaCyc:CPD-8764 Patent:US7399323 LIPID_MAPS_instance:LMPR0103010000"
<http://purl.obolibrary.org/obo/CHEBI_60251>	"R = C or H. The iminium ion resulting from the protonation of one of the imine nitrogens of guanidine or its derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_20854>	"A mitochondrial respiratory-chain inhibitor that interferes with the action of ATP synthase."	
<http://purl.obolibrary.org/obo/CHEBI_51721>	"A ketone of general formula R(1)R(2)C=CR(3)-C(=O)R(4) (R(4) =/= H) or R(1)C#C-C(=O)R(2) (R(2) =/= H) in which the ketonic C=O function is conjugated to an unsaturated C-C bond at the alpha,beta position."	
<http://purl.obolibrary.org/obo/CHEBI_59777>	"An acetal of formula R2C(OR)2 (R =/= H) derived from a ketone by replacement of the oxo group by two hydrocarbyloxy groups. The class name 'ketals', once abandoned by IUPAC, has been reinstated as a subclass of acetals."	
<http://purl.obolibrary.org/obo/PHIPO_0000863>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to camptothecin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/PHIPO_0000777>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to oxytetracycline. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/CHEBI_35488>	"A loosely defined group of drugs that tend to reduce the activity of the central nervous system."	
<http://purl.obolibrary.org/obo/PHIPO_0000189>	"A pathogen host interaction (molecular function??) phenotype in which a gene product that normally binds to a specific DNA sequence instead binds to a different sequence when a gene is mutated. The affected gene product may be encoded by the mutated gene, or by a different gene."	"FYPO:0003735"
<http://purl.obolibrary.org/obo/PHIPO_0000262>	"A pathogen host interaction (cellular process???) phenotype in which endocytosis is abnormal. Endocytosis is a vesicle-mediated transport process in which cells take up external materials or membrane constituents by the invagination of a small region of the plasma membrane to form a new membrane-bounded vesicle. A phenotype may affect endocytosis of all cargoes, or of specific cargo such as a particular protein."	"FYPO:0003886"
<http://purl.obolibrary.org/obo/GO_0170038>	"The chemical reactions and pathways resulting in the formation of any amino acid that is incorporated into protein naturally by ribosomal translation of mRNA, and that has a specific codon for translation from mRNA to protein."	
<http://purl.obolibrary.org/obo/PHIPO_0000901>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to azithromycin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_59064>	"A polymyxin having a (6R)-6-methyloctanoyl group at the amino terminus."	"Reaxys:8609559 PMID:18625681 PMID:25249467 PMID:13058849 PMID:25832483 PMID:25609230 CAS:7722-44-3 PMID:16931410 PMID:1650428"
<http://purl.obolibrary.org/obo/CHEBI_136651>	"Any inhibitor of S100 calcium-binding protein B."	"Wikipedia:S100B"
<http://purl.obolibrary.org/obo/CHEBI_73913>	"An antimetabolite that impairs the action of folic acids"	"Wikipedia:Antifolate"
<http://purl.obolibrary.org/obo/GO_0001677>	"Formation of a complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2 (either eIF2 in eukaryotes, or IF2 in prokaryotes). In prokaryotes, fMet-tRNA (initiator) is used rather than Met-tRNA (initiator)."	
<http://purl.obolibrary.org/obo/CHEBI_33672>	"A bicyclic compound in which at least one of the rings contains at least one skeletal heteroatom."	
<http://purl.obolibrary.org/obo/PATO_0000470>	"An amount which is relatively high."	
<http://purl.obolibrary.org/obo/CHEBI_64769>	"A cationic group that contains carbon."	
<http://purl.obolibrary.org/obo/PHIPO_0000468>	"A pathogen reproductive phenotype within host where the pathogen asexual spores are absent (FAO:0000023)."	
<http://purl.obolibrary.org/obo/PHIPO_0001439>	"A single species phenotype where the frequency of occurrence of septum within an asexual spore is increased."	
<http://purl.obolibrary.org/obo/PATO_0002303>	"A quality of an object that has a value that is decreased compared to normal or average."	
<http://purl.obolibrary.org/obo/PHIPO_0001110>	"A pathogen host interaction phenotype where the pathogen induces a pH decrease within the host cell or cellular component."	
<http://purl.obolibrary.org/obo/PHIPO_0000390>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to diethocarb. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/CHEBI_17499>	"A molecular entity that can undergo oxidation by the loss of hydrogen atom(s)."	"KEGG:C00030"
<http://purl.obolibrary.org/obo/GO_0043935>	"The formation of spores derived from the products of meiosis. A cellular spore is a cell form that can be used for dissemination, for survival of adverse conditions because of its heat and desiccation resistance, and/or for reproduction."	
<http://purl.obolibrary.org/obo/CHEBI_24866>	"A salt is an assembly of cations and anions."	
<http://purl.obolibrary.org/obo/PHIPO_0000784>	"A growth phenotype which describes the sensitivity of individuals or populations after exposure to nisin. Typically, organisms are deemed sensitive to a chemical if they stop growing (and may die) at a concentration of the chemical that allows wild type individuals or populations to grow."	
<http://purl.obolibrary.org/obo/GO_0061736>	"The membrane invagination process by which an autophagosomal membrane surrounds an object that will be degraded by macroautophagy."	
