?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/PHIPO_0001150>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal spatial extent of reactive oxygen species production"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001045>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of pathogen produced toxin within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000738>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to spectinomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000969>	<http://www.w3.org/2000/01/rdf-schema#label>	"present pathogen growth after penetration of the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000955>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished formation of pathogen penetration structure when near host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000353>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal penetration of host by pathogen"	
<http://purl.obolibrary.org/obo/PHIPO_0000068>	<http://www.w3.org/2000/01/rdf-schema#label>	"sexual spores increased in size"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000111>	<http://www.w3.org/2000/01/rdf-schema#label>	"delayed pathogen penetration across the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001262>	<http://www.w3.org/2000/01/rdf-schema#label>	"host defense-induced protein level phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001149>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased reactive oxygen species production"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001180>	<http://www.w3.org/2000/01/rdf-schema#label>	"absence of effector-independent host hypersensitive response"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000507>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0000345>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction molecular function"	
<http://purl.obolibrary.org/obo/PHIPO_0000576>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to strobilurin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000724>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to alexidine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000562>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to trovafloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000793>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to anidulafungin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000620>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to fenpropidin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000331>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen penetration into host present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001031>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased cellular toxin level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000092>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal binary fission"	
<http://purl.obolibrary.org/obo/PHIPO_0000103>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete gain of motility"	
<http://purl.obolibrary.org/obo/PHIPO_0001254>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased host immune inflammatory response with pathogen"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000084>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete increased asexual spore motility"	
<http://purl.obolibrary.org/obo/PHIPO_0001058>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal rugose unicellular colony shape"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000528>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to prochloraz"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000366>	<http://www.w3.org/2000/01/rdf-schema#label>	"delayed timing of pathogen growth within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000124>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal penetration structure present"	
<http://purl.obolibrary.org/obo/PHIPO_0000633>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to tigecycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000589>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to mupirocin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000737>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cyclosporine A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000968>	<http://www.w3.org/2000/01/rdf-schema#label>	"absent pathogen growth after penetration of the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001044>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete protein absent in a pathogen host interaction"	
<http://purl.obolibrary.org/obo/PHIPO_0001267>	<http://www.w3.org/2000/01/rdf-schema#label>	"level of pathogen produced RNA within host phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001193>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased level of host defense-induced reactive oxygen species"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000998>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen morphology phenotype during colonization of host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000240>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal pathogen protein localization within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000358>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete non-functional pathogen penetration structure in contact with host"	
<http://purl.obolibrary.org/obo/PHIPO_0000116>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished pathogen growth after penetration of the barrier"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000506>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete single species"	
<http://purl.obolibrary.org/obo/PHIPO_0000344>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen host interaction molecular function"	
<http://purl.obolibrary.org/obo/PHIPO_0000575>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to micafungin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000382>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to diethofencarb"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000402>	<http://www.w3.org/2000/01/rdf-schema#label>	"individual organism phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000767>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to gentamycin C1"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000984>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal meiotic cell cycle"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001074>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to iron ion starvation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001036>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased level of substance in cell"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000374>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased size of pathogen penetration structure when near host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000140>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased duration of protein-protein interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000591>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to alexidine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000239>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal protein localization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000102>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete loss of motility"	
<http://purl.obolibrary.org/obo/PHIPO_0000097>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal meiosis I"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000618>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to streptomycin sulfate"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000536>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to triclosan"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000753>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to ceftriaxone"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001060>	<http://www.w3.org/2000/01/rdf-schema#label>	"altered RNA level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000305>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete effector of pathogenicity phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000132>	<http://www.w3.org/2000/01/rdf-schema#label>	"protein-protein interaction phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001052>	<http://www.w3.org/2000/01/rdf-schema#label>	"hyper-smooth unicellular colony shape"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000360>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased pathogen penetration into host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000750>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to aztreonam"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000469>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal pathogen asexual sporulation within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to triclabendazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000387>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to terbinafine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000766>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to pentamidine"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000815>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to penicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000989>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of pathogen protein within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000870>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to miconazole"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000373>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased number of pathogen penetration structure when near host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000238>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction protein localization phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000318>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal effector of virulence suppression of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0000145>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal DNA binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000499>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal synthesis of deoxynivalenol"	
<http://purl.obolibrary.org/obo/PHIPO_0000647>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to abamectin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000878>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to fenpropidin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000801>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to amphotericin B"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000809>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to florfenicol"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000131>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen host protein-protein interaction phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000268>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen host interaction vacuolar transport"	
<http://purl.obolibrary.org/obo/PHIPO_0000026>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal penetration"	
<http://purl.obolibrary.org/obo/PHIPO_0000416>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal molecular function"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000254>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen host interaction RNA localization"	
<http://purl.obolibrary.org/obo/PHIPO_0001100>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased level of pathogen RNA within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000161>	<http://www.w3.org/2000/01/rdf-schema#label>	"reproductive phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000639>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to quinupristin-dalfopristin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000477>	<http://www.w3.org/2000/01/rdf-schema#label>	"presence of pathogen necrotrophic effector-mediated host programmed cell death"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000694>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to daptomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000246>	<http://www.w3.org/2000/01/rdf-schema#label>	"abolished pathogen protein localization within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001081>	<http://www.w3.org/2000/01/rdf-schema#label>	"absence of melanin accumulation in pathogen asexual spore within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001199>	<http://www.w3.org/2000/01/rdf-schema#label>	"disease absent"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001185>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete gain of functional host resistance gene"	
<http://purl.obolibrary.org/obo/PHIPO_0000012>	<http://www.w3.org/2000/01/rdf-schema#label>	"unaffected virulence"	
<http://purl.obolibrary.org/obo/PHIPO_0000408>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete morphology phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000814>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to closantel"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000710>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to dicloxacillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000004>	<http://www.w3.org/2000/01/rdf-schema#label>	"unaffected pathogenicity"	
<http://purl.obolibrary.org/obo/PHIPO_0000039>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal mutualism"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000429>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal pathogen and host chitinases bind pathogen chitin and chitin fragments"	
<http://purl.obolibrary.org/obo/PHIPO_0000498>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal toxin biosynthetic process"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000806>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to trovafloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000267>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal vacuolar transport"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000025>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal mating phenotype prior to penetration"	
<http://purl.obolibrary.org/obo/PHIPO_0001113>	<http://www.w3.org/2000/01/rdf-schema#label>	"host defense induced acidification in phagolysome present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001225>	<http://www.w3.org/2000/01/rdf-schema#label>	"chitin hydrolysis present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000302>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal dissemination of sexual spore"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000174>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete decreased pathogen host interaction RNA binding"	
<http://purl.obolibrary.org/obo/PHIPO_0000259>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal protein transport"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001094>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal localization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000297>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal dissemination of pathogen sexual product"	
<http://purl.obolibrary.org/obo/PHIPO_0000160>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen penetration across barrier phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000830>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to ofloxacin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000904>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to sulbactam"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001198>	<http://www.w3.org/2000/01/rdf-schema#label>	"outcome of interaction phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000899>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to sordarin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001080>	<http://www.w3.org/2000/01/rdf-schema#label>	"altered pathogen pigment accumulation within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000822>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to antimycin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000283>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal stature"	
<http://purl.obolibrary.org/obo/PHIPO_0000159>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal subcellular component"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000017>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal single species phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000190>	<http://www.w3.org/2000/01/rdf-schema#label>	"delayed host-defense induced lesion formation by host hypersensitive response"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000055>	<http://www.w3.org/2000/01/rdf-schema#label>	"delayed sexual sporulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000668>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cefoxitin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000885>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to novobiocin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000379>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal cell wall organization"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000041>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal motility phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0001079>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen host interaction pigment phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0001203>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete gain of functional pathogen effector"	
<http://purl.obolibrary.org/obo/PHIPO_0000206>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete altered pathogen and host protein binding specificity"	
<http://purl.obolibrary.org/obo/PHIPO_0000437>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased catalytic activity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000275>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal tissue phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete abnormal pathogen growth on host surface"	
<http://purl.obolibrary.org/obo/PHIPO_0000654>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to valinomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000492>	<http://www.w3.org/2000/01/rdf-schema#label>	"metabolic process phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000882>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to tetracycline"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000651>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to neomycin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000843>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to bacitracin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001007>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete pathogen colonization of host morphology phenotype"	
<http://purl.obolibrary.org/obo/PHIPO_0000137>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased protein-protein interaction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001224>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased chitin hydrolysis present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000296>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete normal dissemination of pathogen asexual product"	
<http://purl.obolibrary.org/obo/PHIPO_0000420>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen chitin fragment binding"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001142>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal pathogen protein localization to host chloroplast"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000898>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to nalidixic acid"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000604>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to meropenem"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000835>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to aureobasidin A"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000947>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased cellular reactive oxygen species level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000785>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to sulfanilamide"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000288>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased cellular pigment accumulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000054>	<http://www.w3.org/2000/01/rdf-schema#label>	"premature asexual sporulation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000554>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to nisin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001216>	<http://www.w3.org/2000/01/rdf-schema#label>	"nutrient phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000771>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to ampicillin"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000667>	<http://www.w3.org/2000/01/rdf-schema#label>	"resistance to cefotaxime"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000851>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to captan"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001240>	<http://www.w3.org/2000/01/rdf-schema#label>	"host defense induced alkalization present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000716>	<http://www.w3.org/2000/01/rdf-schema#label>	"sensitive to cefixime"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001202>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete loss of functional pathogen effector"	
<http://purl.obolibrary.org/obo/PHIPO_0000219>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased level of pathogen deoxynivalenol within host"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001023>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased cellular cAMP level"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001127>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased growth on myristic acid carbon source"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000046>	<http://www.w3.org/2000/01/rdf-schema#label>	"normal sexual reproduction"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000436>	<http://www.w3.org/2000/01/rdf-schema#label>	"decreased catalytic activity"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000274>	<http://www.w3.org/2000/01/rdf-schema#label>	"increased asexual spore germination frequency"	
<http://purl.obolibrary.org/obo/PHIPO_0000032>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal formation of pathogen penetration structure"	
<http://purl.obolibrary.org/obo/PHIPO_0000188>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen growth on host surface phenotype"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000070>	<http://www.w3.org/2000/01/rdf-schema#label>	"altered in pigment accumulation in sexual spore"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000323>	<http://www.w3.org/2000/01/rdf-schema#label>	"obsolete loss of effector of pathogenicity activation of host defense"	
<http://purl.obolibrary.org/obo/PHIPO_0001232>	<http://www.w3.org/2000/01/rdf-schema#label>	"pathogen RNA within host present"@en	
<http://purl.obolibrary.org/obo/PHIPO_0000925>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal cell wall organization or biogenesis"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001001>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal organization of pathogen septin collar during cell to cell migration"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001119>	<http://www.w3.org/2000/01/rdf-schema#label>	"abnormal protein phosphorylation"@en	
<http://purl.obolibrary.org/obo/PHIPO_0001105>	<http://www.w3.org/2000/01/rdf-schema#label>	"gliotoxin absent from cell"@en	
