defined_class	defined_class_label	entity	entity_label
PHIPO:0000554	resistance to nisin	CHEBI:71629	nisin
PHIPO:0000555	resistance to tetracycline	CHEBI:27902	tetracycline
PHIPO:0000556	resistance to moxifloxacin	CHEBI:63611	moxifloxacin
PHIPO:0000557	resistance to myriocin	CHEBI:582124	myriocin
PHIPO:0000558	resistance to benzylpenicillin	CHEBI:18208	benzylpenicillin
PHIPO:0000559	resistance to latrunculin A	CHEBI:69136	latrunculin A
PHIPO:0000560	resistance to clindamycin	CHEBI:3745	clindamycin
PHIPO:0000561	resistance to tylosin	CHEBI:17658	tylosin
PHIPO:0000562	resistance to trovafloxacin	CHEBI:9763	trovafloxacin
PHIPO:0000563	resistance to furazolidone	CHEBI:5195	furazolidone
PHIPO:0000564	resistance to mecillinam	CHEBI:51208	mecillinam
PHIPO:0000565	resistance to cefixime	CHEBI:472657	cefixime
PHIPO:0000566	resistance to tridemorph	CHEBI:9700	tridemorph
PHIPO:0000567	resistance to mancozeb	CHEBI:52492	mancozeb
PHIPO:0000569	resistance to netilmicin	CHEBI:7528	netilmicin
PHIPO:0000570	resistance to sulfanilamide	CHEBI:45373	sulfanilamide
PHIPO:0000571	resistance to leptomycin B	CHEBI:52646	leptomycin B
PHIPO:0000572	resistance to bleomycin	CHEBI:22907	bleomycin
PHIPO:0000573	resistance to gentamycin C1	CHEBI:27412	gentamycin C1
PHIPO:0000574	resistance to pyrazinecarboxamide	CHEBI:45285	pyrazinecarboxamide
PHIPO:0000575	resistance to micafungin	CHEBI:600520	micafungin
PHIPO:0000576	resistance to strobilurin A	CHEBI:86482	strobilurin A
PHIPO:0000577	resistance to nikkomycin Z	CHEBI:623918	nikkomycin Z
PHIPO:0000578	resistance to nifurtimox	CHEBI:7566	nifurtimox
PHIPO:0000579	resistance to rotenone	CHEBI:28201	rotenone
PHIPO:0000580	resistance to sulfadimethoxine	CHEBI:32161	sulfadimethoxine
PHIPO:0000581	resistance to flucytosine	CHEBI:5100	flucytosine
PHIPO:0000582	resistance to cefuroxime	CHEBI:3515	cefuroxime
PHIPO:0000583	resistance to antimycin A	CHEBI:22584	antimycin A
PHIPO:0000584	resistance to brefeldin A	CHEBI:48080	brefeldin A
PHIPO:0000586	resistance to anidulafungin	CHEBI:55346	anidulafungin
PHIPO:0000587	resistance to vinclozolin	CHEBI:9986	vinclozolin
PHIPO:0000588	resistance to trimethoprim	CHEBI:45924	trimethoprim
PHIPO:0000589	resistance to mupirocin	CHEBI:7025	mupirocin
PHIPO:0000590	resistance to voriconazole	CHEBI:10023	voriconazole
PHIPO:0000591	resistance to alexidine	CHEBI:53661	alexidine
PHIPO:0000592	resistance to fludioxonil	CHEBI:81763	fludioxonil
PHIPO:0000593	resistance to oxacillin	CHEBI:7809	oxacillin
PHIPO:0000594	resistance to cefpodoxime proxetil	CHEBI:3505	cefpodoxime proxetil
PHIPO:0000596	resistance to eflornithine	CHEBI:41948	eflornithine
PHIPO:0000597	resistance to polymyxin B1	CHEBI:8309	polymyxin B1
PHIPO:0000598	resistance to pyrimethanil	CHEBI:8674	pyrimethanil
PHIPO:0000599	resistance to telithromycin	CHEBI:29688	telithromycin
PHIPO:0000600	resistance to capreomycin	CHEBI:3371	capreomycin
PHIPO:0000601	resistance to amikacin	CHEBI:2637	amikacin
PHIPO:0000602	resistance to ethionamide	CHEBI:4885	ethionamide
PHIPO:0000603	resistance to doxycycline	CHEBI:50845	doxycycline
PHIPO:0000604	resistance to meropenem	CHEBI:43968	meropenem
PHIPO:0000605	resistance to 4-aminosalicylic acid	CHEBI:27565	4-aminosalicylic acid
PHIPO:0000606	resistance to rifampicin	CHEBI:28077	rifampicin
PHIPO:0000607	resistance to flutriafol	CHEBI:81923	flutriafol
PHIPO:0000608	resistance to rifabutin	CHEBI:45367	rifabutin
PHIPO:0000609	resistance to nalidixic acid	CHEBI:100147	nalidixic acid
PHIPO:0000610	resistance to linezolid	CHEBI:63607	linezolid
PHIPO:0000611	resistance to fusidic acid	CHEBI:29013	fusidic acid
PHIPO:0000612	resistance to tunicamycin	CHEBI:29699	tunicamycin
PHIPO:0000613	resistance to epoxyconazole	CHEBI:4811	epoxyconazole
PHIPO:0000615	resistance to D-cycloserine	CHEBI:40009	D-cycloserine
PHIPO:0000616	resistance to kanamycin A	CHEBI:17630	kanamycin A
PHIPO:0000617	resistance to verapamil	CHEBI:9948	verapamil
PHIPO:0000618	resistance to streptomycin sulfate	CHEBI:32158	streptomycin sulfate
PHIPO:0000619	resistance to farnesol	CHEBI:28600	farnesol
PHIPO:0000620	resistance to fenpropidin	CHEBI:81917	fenpropidin
PHIPO:0000621	resistance to gatifloxacin	CHEBI:5280	gatifloxacin
PHIPO:0000622	resistance to erythromycin A	CHEBI:42355	erythromycin A
PHIPO:0000623	resistance to bifonazole	CHEBI:31286	bifonazole
PHIPO:0000624	resistance to azithromycin	CHEBI:2955	azithromycin
PHIPO:0000625	resistance to posaconazole	CHEBI:64355	posaconazole
PHIPO:0000626	resistance to prothionamide	CHEBI:32066	prothionamide
PHIPO:0000627	resistance to copper	CHEBI:28694	copper
PHIPO:0000628	resistance to resveratrol	CHEBI:27881	resveratrol
PHIPO:0000629	resistance to colistin	CHEBI:37943	colistin
PHIPO:0000630	resistance to oligomycin	CHEBI:25675	oligomycin
PHIPO:0000631	resistance to cefepime	CHEBI:478164	cefepime
PHIPO:0000632	resistance to hydrogen peroxide	CHEBI:16240	hydrogen peroxide
PHIPO:0000633	resistance to tigecycline	CHEBI:149836	tigecycline
PHIPO:0000634	resistance to tricyclazole	CHEBI:81783	tricyclazole
PHIPO:0000635	resistance to closantel	CHEBI:77053	closantel
PHIPO:0000636	resistance to diniconazole	CHEBI:81913	diniconazole
PHIPO:0000639	resistance to quinupristin-dalfopristin	CHEBI:8733	quinupristin-dalfopristin
PHIPO:0000640	resistance to sparfloxacin	CHEBI:9212	sparfloxacin
PHIPO:0000641	resistance to cefaclor	CHEBI:3478	cefaclor
PHIPO:0000642	resistance to plumbagin	CHEBI:8273	plumbagin
PHIPO:0000643	resistance to imipenem	CHEBI:471744	imipenem
PHIPO:0000644	resistance to streptomycin	CHEBI:17076	streptomycin
PHIPO:0000645	resistance to ticarcillin	CHEBI:9587	ticarcillin
PHIPO:0000646	resistance to fenhexamid	CHEBI:9242	fenhexamid
PHIPO:0000647	resistance to abamectin	CHEBI:39214	abamectin
PHIPO:0000648	resistance to miltefosine	CHEBI:75283	miltefosine
PHIPO:0000649	resistance to methicillin	CHEBI:6827	methicillin
PHIPO:0000650	resistance to ertapenem	CHEBI:404903	ertapenem
PHIPO:0000651	resistance to neomycin	CHEBI:7507	neomycin
PHIPO:0000652	resistance to rapamycin	CHEBI:9168	rapamycin
PHIPO:0000653	resistance to fluconazole	CHEBI:46081	fluconazole
PHIPO:0000654	resistance to valinomycin	CHEBI:28545	valinomycin
PHIPO:0000655	resistance to salicylhydroxamic acid	CHEBI:45615	salicylhydroxamic acid
PHIPO:0000656	resistance to nicotinamide	CHEBI:17154	nicotinamide
PHIPO:0000657	resistance to sulbactam	CHEBI:9321	sulbactam
PHIPO:0000658	resistance to amoxicillin	CHEBI:2676	amoxicillin
PHIPO:0000659	resistance to gentamicin	CHEBI:17833	gentamicin
PHIPO:0000660	resistance to ceftazidime	CHEBI:3508	ceftazidime
PHIPO:0000661	resistance to sulfisoxazole	CHEBI:102484	sulfisoxazole
PHIPO:0000662	resistance to bacitracin	CHEBI:28669	bacitracin
PHIPO:0000663	resistance to difenoconazole	CHEBI:81760	difenoconazole
PHIPO:0000664	resistance to spiroxamine	CHEBI:9242	spiroxamine
PHIPO:0000665	resistance to ofloxacin	CHEBI:7731	ofloxacin
PHIPO:0000666	resistance to cyclosporine A	CHEBI:4031	cyclosporine A
PHIPO:0000667	resistance to cefotaxime	CHEBI:204928	cefotaxime
PHIPO:0000668	resistance to cefoxitin	CHEBI:209807	cefoxitin
PHIPO:0000669	resistance to fenarimol	CHEBI:4998	fenarimol
PHIPO:0000670	resistance to levofloxacin	CHEBI:63598	levofloxacin
PHIPO:0000671	resistance to spectinomycin	CHEBI:9215	spectinomycin
PHIPO:0000672	resistance to pentamidine	CHEBI:45081	pentamidine
PHIPO:0000673	resistance to thiabendazole	CHEBI:45979	thiabendazole
PHIPO:0000674	resistance to chlortetracycline	CHEBI:27644	chlortetracycline
PHIPO:0000675	resistance to itraconazole	CHEBI:6076	itraconazole
PHIPO:0000676	resistance to nitrofurantoin	CHEBI:71415	nitrofurantoin
PHIPO:0000677	resistance to ceftriaxone	CHEBI:29007	ceftriaxone
PHIPO:0000678	resistance to paromomycin	CHEBI:7934	paromomycin
PHIPO:0000679	resistance to tebuconazole	CHEBI:81781	tebuconazole
PHIPO:0000681	resistance to nystatin	CHEBI:7660	nystatin
PHIPO:0000682	resistance to propiconazole	CHEBI:8489	propiconazole
PHIPO:0000684	resistance to minocycline	CHEBI:50694	minocycline
PHIPO:0000685	resistance to tobramycin	CHEBI:28864	tobramycin
PHIPO:0000686	resistance to caspofungin	CHEBI:474180	caspofungin
PHIPO:0000688	resistance to amphotericin B	CHEBI:2682	amphotericin B
PHIPO:0000689	resistance to chloramphenicol	CHEBI:17698	chloramphenicol
PHIPO:0000690	resistance to novobiocin	CHEBI:28368	novobiocin
PHIPO:0000691	resistance to emamectin	CHEBI:39230	emamectin
PHIPO:0000692	resistance to penicillin	CHEBI:17334	penicillin
PHIPO:0000693	resistance to carbapenems	CHEBI:46633	carbapenems
PHIPO:0000694	resistance to daptomycin	CHEBI:600103	daptomycin
PHIPO:0000695	resistance to clarithromycin	CHEBI:3732	clarithromycin
PHIPO:0000696	resistance to copper sulphate	CHEBI:23414	copper sulphate
PHIPO:0000697	resistance to fosfomycin	CHEBI:28915	fosfomycin
PHIPO:0000698	resistance to trichostatin A	CHEBI:46024	trichostatin A
PHIPO:0000699	resistance to doripenem	CHEBI:135928	doripenem
PHIPO:0000700	resistance to miconazole	CHEBI:6923	miconazole
PHIPO:0000701	resistance to vancomycin	CHEBI:28001	vancomycin
PHIPO:0000702	resistance to phosphomycin	CHEBI:28915	phosphomycin
PHIPO:0000703	resistance to aureobasidin A	CHEBI:61739	aureobasidin A
PHIPO:0000704	resistance to lincomycin	CHEBI:6472	lincomycin
PHIPO:0000705	resistance to norfloxacin	CHEBI:100246	norfloxacin
PHIPO:0000706	resistance to tiamulin	CHEBI:44137	tiamulin
PHIPO:0000707	resistance to hymexazol	CHEBI:5827	hymexazol
PHIPO:0000708	resistance to cephalexin	CHEBI:3534	cephalexin
PHIPO:0000709	resistance to clofazimine	CHEBI:3749	clofazimine
PHIPO:0000710	resistance to dicloxacillin	CHEBI:4511	dicloxacillin
PHIPO:0000711	resistance to camptothecin	CHEBI:27656	camptothecin
PHIPO:0000712	resistance to cefazolin	CHEBI:474053	cefazolin
