Level	Rule Name	Subject	Property	Value
ERROR	multiple_definitions	negatively regulates	definition	<Process(P1) negatively regulates process(P2) iff: P1 terminates P2, or P1 descreases the the frequency of initiation of P2 or the magnitude or rate of output of P2.>
ERROR	multiple_definitions	negatively regulates	definition	x negatively regulates y if and only if the progression of x reduces the frequency, rate or extent of y
ERROR	multiple_definitions	positively regulates	definition	<Process(P1) postively regulates process(P2) iff: P1 initiates P2, or P1 increases the the frequency of initiation of P2 or the magnitude or rate of output of P2.>
ERROR	multiple_definitions	positively regulates	definition	x positively regulates y if and only if the progression of x increases the frequency, rate or extent of y
ERROR	multiple_labels	part_of	label	part of
ERROR	multiple_labels	part_of	label	part of@en
ERROR	multiple_labels	part_of	label	part_of
ERROR	multiple_labels	has_part	label	has part
ERROR	multiple_labels	has_part	label	has part@en
ERROR	multiple_labels	has_part	label	has_part
ERROR	multiple_labels	occurs in	label	occurs in
ERROR	multiple_labels	occurs in	label	occurs in@en
ERROR	multiple_labels	anatomical entity	label	anatomical entity
ERROR	multiple_labels	anatomical entity	label	anatomical entity@en
ERROR	multiple_labels	cell	label	cell
ERROR	multiple_labels	cell	label	cell@en
ERROR	multiple_labels	intracellular	label	intracellular
ERROR	multiple_labels	intracellular	label	intracellular anatomical structure
ERROR	multiple_labels	nucleus	label	nucleus
ERROR	multiple_labels	nucleus	label	nucleus@en
ERROR	multiple_labels	biological process involved in symbiotic interaction	label	biological process involved in symbiotic interaction
ERROR	multiple_labels	biological process involved in symbiotic interaction	label	symbiosis, encompassing mutualism through parasitism
ERROR	multiple_labels	interspecies interaction between organisms	label	biological process involved in interspecies interaction between organisms
ERROR	multiple_labels	interspecies interaction between organisms	label	interspecies interaction between organisms
ERROR	multiple_labels	biological process involved in interaction with symbiont	label	biological process involved in interaction with symbiont
ERROR	multiple_labels	biological process involved in interaction with symbiont	label	interaction with symbiont
ERROR	multiple_labels	symbiotic process benefiting host	label	mutualism
ERROR	multiple_labels	symbiotic process benefiting host	label	symbiotic process benefiting host
ERROR	multiple_labels	definition	label	definition
ERROR	multiple_labels	definition	label	definition@en
ERROR	multiple_labels	definition	label	textual definition
ERROR	multiple_labels	term tracker item	label	term tracker item
ERROR	multiple_labels	term tracker item	label	term tracker item@en
ERROR	multiple_labels	term replaced by	label	term replaced by
ERROR	multiple_labels	term replaced by	label	term replaced by@en
ERROR	multiple_labels	has role	label	has role
ERROR	multiple_labels	has role	label	has role@en
ERROR	multiple_labels	regulates	label	regulates
ERROR	multiple_labels	regulates	label	regulates@en
ERROR	multiple_labels	negatively regulates	label	negatively regulates
ERROR	multiple_labels	negatively regulates	label	negatively regulates@en
ERROR	multiple_labels	positively regulates	label	positively regulates
ERROR	multiple_labels	positively regulates	label	positively regulates@en
ERROR	multiple_labels	is_opposite_of	label	is opposite of
ERROR	multiple_labels	is_opposite_of	label	is_opposite_of
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x y) (if (and (Continuant x) (exists (t) (continuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [009-002] >
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x y) (if (and (Continuant x) (exists (t) (hasContinuantPartOfAt y x t))) (Continuant y))) // axiom label in BFO2 CLIF: [126-001] >
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x) (if (Continuant x) (Entity x))) // axiom label in BFO2 CLIF: [008-002] >
WARN	annotation_whitespace	continuant	has associated axiom(fol)	<(forall (x) (if (Material Entity x) (exists (t) (and (TemporalRegion t) (existsAt x t))))) // axiom label in BFO2 CLIF: [011-002] >
WARN	annotation_whitespace	occurrent	has associated axiom(fol)	<(forall (x) (if (Occurrent x) (exists (r) (and (SpatioTemporalRegion r) (occupiesSpatioTemporalRegion x r))))) // axiom label in BFO2 CLIF: [108-001] >
WARN	annotation_whitespace	occurrent	has associated axiom(fol)	<(forall (x) (iff (Occurrent x) (and (Entity x) (exists (y) (temporalPartOf y x))))) // axiom label in BFO2 CLIF: [079-001] >
WARN	annotation_whitespace	independent continuant	has associated axiom(fol)	<(forall (x t) (if (IndependentContinuant x) (exists (r) (and (SpatialRegion r) (locatedInAt x r t))))) // axiom label in BFO2 CLIF: [134-001] >
WARN	annotation_whitespace	independent continuant	has associated axiom(fol)	<(forall (x t) (if (and (IndependentContinuant x) (existsAt x t)) (exists (y) (and (Entity y) (specificallyDependsOnAt y x t))))) // axiom label in BFO2 CLIF: [018-002] >
WARN	annotation_whitespace	independent continuant	has associated axiom(fol)	<(iff (IndependentContinuant a) (and (Continuant a) (not (exists (b t) (specificallyDependsOnAt a b t))))) // axiom label in BFO2 CLIF: [017-002] >
WARN	annotation_whitespace	process	has associated axiom(fol)	<(iff (Process a) (and (Occurrent a) (exists (b) (properTemporalPartOf b a)) (exists (c t) (and (MaterialEntity c) (specificallyDependsOnAt a c t))))) // axiom label in BFO2 CLIF: [083-003] >
WARN	annotation_whitespace	disposition	has associated axiom(fol)	<(forall (x t) (if (and (RealizableEntity x) (existsAt x t)) (exists (y) (and (MaterialEntity y) (specificallyDepends x y t))))) // axiom label in BFO2 CLIF: [063-002] >
WARN	annotation_whitespace	disposition	has associated axiom(fol)	<(forall (x) (if (Disposition x) (and (RealizableEntity x) (exists (y) (and (MaterialEntity y) (bearerOfAt x y t)))))) // axiom label in BFO2 CLIF: [062-002] >
WARN	annotation_whitespace	realizable entity	has associated axiom(fol)	<(forall (x t) (if (RealizableEntity x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (bearerOfAt y x t))))) // axiom label in BFO2 CLIF: [060-002] >
WARN	annotation_whitespace	realizable entity	has associated axiom(fol)	<(forall (x) (if (RealizableEntity x) (and (SpecificallyDependentContinuant x) (exists (y) (and (IndependentContinuant y) (not (SpatialRegion y)) (inheresIn x y)))))) // axiom label in BFO2 CLIF: [058-002] >
WARN	annotation_whitespace	quality	has associated axiom(fol)	<(forall (x) (if (Quality x) (SpecificallyDependentContinuant x))) // axiom label in BFO2 CLIF: [055-001] >
WARN	annotation_whitespace	quality	has associated axiom(fol)	<(forall (x) (if (exists (t) (and (existsAt x t) (Quality x))) (forall (t_1) (if (existsAt x t_1) (Quality x))))) // axiom label in BFO2 CLIF: [105-001] >
WARN	annotation_whitespace	specifically dependent continuant	has associated axiom(fol)	<(iff (RelationalSpecificallyDependentContinuant a) (and (SpecificallyDependentContinuant a) (forall (t) (exists (b c) (and (not (SpatialRegion b)) (not (SpatialRegion c)) (not (= b c)) (not (exists (d) (and (continuantPartOfAt d b t) (continuantPartOfAt d c t)))) (specificallyDependsOnAt a b t) (specificallyDependsOnAt a c t)))))) // axiom label in BFO2 CLIF: [131-004] >
WARN	annotation_whitespace	specifically dependent continuant	has associated axiom(fol)	<(iff (SpecificallyDependentContinuant a) (and (Continuant a) (forall (t) (if (existsAt a t) (exists (b) (and (IndependentContinuant b) (not (SpatialRegion b)) (specificallyDependsOnAt a b t))))))) // axiom label in BFO2 CLIF: [050-003] >
WARN	annotation_whitespace	role	has associated axiom(fol)	<(forall (x) (if (Role x) (RealizableEntity x))) // axiom label in BFO2 CLIF: [061-001] >
WARN	annotation_whitespace	generically dependent continuant	has associated axiom(fol)	<(iff (GenericallyDependentContinuant a) (and (Continuant a) (exists (b t) (genericallyDependsOnAt a b t)))) // axiom label in BFO2 CLIF: [074-001] >
WARN	annotation_whitespace	material entity	has associated axiom(fol)	<(forall (x) (if (MaterialEntity x) (IndependentContinuant x))) // axiom label in BFO2 CLIF: [019-002] >
WARN	annotation_whitespace	material entity	has associated axiom(fol)	<(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt x y t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [021-002] >
WARN	annotation_whitespace	material entity	has associated axiom(fol)	<(forall (x) (if (and (Entity x) (exists (y t) (and (MaterialEntity y) (continuantPartOfAt y x t)))) (MaterialEntity x))) // axiom label in BFO2 CLIF: [020-002] >
WARN	annotation_whitespace	definition	editor note	<2012-04-05: Barry SmithThe official OBI definition, explaining the meaning of a class or property: 'Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions' is terrible.Can you fix to something like:A statement of necessary and sufficient conditions explaining the meaning of an expression referring to a class or property.Alan RuttenbergYour proposed definition is a reasonable candidate, except that it is very common that necessary and sufficient conditions are not given. Mostly they are necessary, occasionally they are necessary and sufficient or just sufficient. Often they use terms that are not themselves defined and so they effectively can't be evaluated by those criteria. On the specifics of the proposed definition:We don't have definitions of 'meaning' or 'expression' or 'property'. For 'reference' in the intended sense I think we use the term 'denotation'. For 'expression', I think we you mean symbol, or identifier. For 'meaning' it differs for class and property. For class we want documentation that let's the intended reader determine whether an entity is instance of the class, or not. For property we want documentation that let's the intended reader determine, given a pair of potential relata, whether the assertion that the relation holds is true. The 'intended reader' part suggests that we also specify who, we expect, would be able to understand the definition, and also generalizes over human and computer reader to include textual and logical definition. Personally, I am more comfortable weakening definition to documentation, with instructions as to what is desirable. We also have the outstanding issue of how to aim different definitions to different audiences. A clinical audience reading chebi wants a different sort of definition documentation/definition from a chemistry trained audience, and similarly there is a need for a definition that is adequate for an ontologist to work with. @en>
WARN	annotation_whitespace	expand expression to	example of usage	"<ObjectProperty: RO_0002104Label: has plasma membrane partAnnotations: IAO_0000424 \""http://purl.obolibrary.org/obo/BFO_0000051 some (http://purl.org/obo/owl/GO#GO_0005886 and http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\""@en>"
WARN	annotation_whitespace	expand assertion to	example of usage	"<ObjectProperty: RO???Label: spatially disjoint fromAnnotations: expand_assertion_to \""DisjointClasses: (http://purl.obolibrary.org/obo/BFO_0000051 some ?X) (http://purl.obolibrary.org/obo/BFO_0000051 some ?Y)\""@en>"
WARN	annotation_whitespace	axiom holds for all times	definition	"<## ElucidationThis is used when the statement/axiom is assumed to hold true 'eternally'## How to interpret (informal)First the \""atemporal\"" FOL is derived from the OWL using the standardinterpretation. This axiom is temporalized by embedding the axiomwithin a for-all-times quantified sentence. The t argument is added toall instantiation predicates and predicates that use this relation.## Example Class: nucleus SubClassOf: part_of some cell forall t : forall n : instance_of(n,Nucleus,t) implies exists c : instance_of(c,Cell,t) part_of(n,c,t)## NotesThis interpretation is *not* the same as an at-all-times relation>"
WARN	annotation_whitespace	never in taxon	expand assertion to	?X DisjointWith RO_0002162 some ?Y 
WARN	annotation_whitespace	capable of	definition	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 
WARN	missing_definition	connected anatomical structure	definition	
WARN	missing_definition	material anatomical entity	definition	
WARN	missing_definition	biological entity	definition	
WARN	missing_definition	scyllo-inositol	definition	
WARN	missing_definition	doripenem	definition	
WARN	missing_definition	D-sorbitol-(13)C6	definition	
WARN	missing_definition	carbamate	definition	
WARN	missing_definition	a tetracycline zwittterion	definition	
WARN	missing_definition	D-alpha-amino acid	definition	
WARN	missing_definition	hygromycin B	definition	
WARN	missing_definition	hydrogensulfite	definition	
WARN	missing_definition	kanamycin A	definition	
WARN	missing_definition	hydrogen halide	definition	
WARN	missing_definition	manganese atom	definition	
WARN	missing_definition	11alpha-hydroxy steroid	definition	
WARN	missing_definition	alkali metal atom	definition	
WARN	missing_definition	alpha-D-glucoside	definition	
WARN	missing_definition	amino cyclitol glycoside	definition	
WARN	missing_definition	aminobenzoate	definition	
WARN	missing_definition	aminobenzoic acid	definition	
WARN	missing_definition	aminoglycoside antibiotic	definition	
WARN	missing_definition	arabinoside	definition	
WARN	missing_definition	benzamides	definition	
WARN	missing_definition	arenesulfonate oxoanion	definition	
WARN	missing_definition	benzopyran	definition	
WARN	missing_definition	benzopyrrole	definition	
WARN	missing_definition	calcium ionophore	definition	
WARN	missing_definition	carbonyl group	definition	
WARN	missing_definition	chelate-forming peptide	definition	
WARN	missing_definition	chloride salt	definition	
WARN	missing_definition	chlorine atom	definition	
WARN	missing_definition	choline ester	definition	
WARN	missing_definition	chromenes	definition	
WARN	missing_definition	chromopeptide	definition	
WARN	missing_definition	compatible osmolytes	definition	
WARN	missing_definition	copper molecular entity	definition	
WARN	missing_definition	copper cation	definition	
WARN	missing_definition	coumarins	definition	
WARN	missing_definition	cyclic amide	definition	
WARN	missing_definition	cyclic peptide	definition	
WARN	missing_definition	deoxyribonucleoside	definition	
WARN	missing_definition	quinolone	definition	
WARN	missing_definition	dithiol	definition	
WARN	missing_definition	dodecyl group	definition	
WARN	missing_definition	dodecyl sulfate	definition	
WARN	missing_definition	monoatomic anion	definition	
WARN	missing_definition	monoatomic cation	definition	
WARN	missing_definition	erythromycins	definition	
WARN	missing_definition	erythronolide	definition	
WARN	missing_definition	ethanolamines	definition	
WARN	missing_definition	fluorine atom	definition	
WARN	missing_definition	fluorine molecular entity	definition	
WARN	missing_definition	glucoside	definition	
WARN	missing_definition	halogen molecular entity	definition	
WARN	missing_definition	halogen	definition	
WARN	missing_definition	heterocyclic antibiotic	definition	
WARN	missing_definition	hexitol	definition	
WARN	missing_definition	hydroxymethyl group	definition	
WARN	missing_definition	hygromycin	definition	
WARN	missing_definition	imide	definition	
WARN	missing_definition	indole phytoalexin	definition	
WARN	missing_definition	inorganic anion	definition	
WARN	missing_definition	inorganic oxide	definition	
WARN	missing_definition	inorganic salt	definition	
WARN	missing_definition	inorganic sulfate salt	definition	
WARN	missing_definition	iodine molecular entity	definition	
WARN	missing_definition	monoatomic ion	definition	
WARN	missing_definition	organic salt	definition	
WARN	missing_definition	isoindoles	definition	
WARN	missing_definition	kanamycins	definition	
WARN	missing_definition	leucomycin	definition	
WARN	missing_definition	lipopeptide antibiotic	definition	
WARN	missing_definition	manganese molecular entity	definition	
WARN	missing_definition	metal cation	definition	
WARN	missing_definition	mitochondrial respiratory-chain inhibitor	definition	
WARN	missing_definition	monoatomic monocation	definition	
WARN	missing_definition	naphthalenemonosulfonate	definition	
WARN	missing_definition	naphthalenesulfonate	definition	
WARN	missing_definition	nitrogen atom	definition	
WARN	missing_definition	organonitrogen heterocyclic antibiotic	definition	
WARN	missing_definition	nonmetal atom	definition	
WARN	missing_definition	nucleoside antibiotic	definition	
WARN	missing_definition	organic heteromonocyclic compound	definition	
WARN	missing_definition	organic ion	definition	
WARN	missing_definition	organic phosphate	definition	
WARN	missing_definition	oxygen atom	definition	
WARN	missing_definition	oxygen molecular entity	definition	
WARN	missing_definition	organooxygen heterocyclic antibiotic	definition	
WARN	missing_definition	penicillanic acids	definition	
WARN	missing_definition	peptide antibiotic	definition	
WARN	missing_definition	phosphite ion	definition	
WARN	missing_definition	phosphoric acid derivative	definition	
WARN	missing_definition	phosphorus molecular entity	definition	
WARN	missing_definition	piperazines	definition	
WARN	missing_definition	piperidines	definition	
WARN	missing_definition	potassium atom	definition	
WARN	missing_definition	potassium molecular entity	definition	
WARN	missing_definition	pyridine alkaloid	definition	
WARN	missing_definition	pyrimidine nucleoside	definition	
WARN	missing_definition	quinoline alkaloid	definition	
WARN	missing_definition	rifamycins	definition	
WARN	missing_definition	sodium atom	definition	
WARN	missing_definition	sodium molecular entity	definition	
WARN	missing_definition	steroid antibiotic	definition	
WARN	missing_definition	stilbene	definition	
WARN	missing_definition	streptomycins	definition	
WARN	missing_definition	sulfonium compound	definition	
WARN	missing_definition	sulfur atom	definition	
WARN	missing_definition	sulfur molecular entity	definition	
WARN	missing_definition	organic heterobicyclic compound	definition	
WARN	missing_definition	uridines	definition	
WARN	missing_definition	water-soluble vitamin	definition	
WARN	missing_definition	zinc atom	definition	
WARN	missing_definition	zinc molecular entity	definition	
WARN	missing_definition	gentamycin C1	definition	
WARN	missing_definition	carbon atom	definition	
WARN	missing_definition	actinomycin D	definition	
WARN	missing_definition	beta-L-arabinoside	definition	
WARN	missing_definition	3-(carbamoyloxymethyl)cephalosporin	definition	
WARN	missing_definition	kanamycin B	definition	
WARN	missing_definition	gentamycin C	definition	
WARN	missing_definition	phosphorus atom	definition	
WARN	missing_definition	copper atom	definition	
WARN	missing_definition	carbonic acid	definition	
WARN	missing_definition	hydrogenperoxide(1-)	definition	
WARN	missing_definition	sulfonic acid	definition	
WARN	missing_definition	dinitride(2-)	definition	
WARN	missing_definition	alkyl sulfate	definition	
WARN	missing_definition	azanide	definition	
WARN	missing_definition	peroxy group	definition	
WARN	missing_definition	avermectin B1a	definition	
WARN	missing_definition	avermectin B1b	definition	
WARN	missing_definition	telithromycin	definition	
WARN	missing_definition	nitro group	definition	
WARN	missing_definition	thiol group	definition	
WARN	missing_definition	hydrosulfide	definition	
WARN	missing_definition	sulfo group	definition	
WARN	missing_definition	diazene	definition	
WARN	missing_definition	diazenide	definition	
WARN	missing_definition	azo group	definition	
WARN	missing_definition	thiocarbonyl group	definition	
WARN	missing_definition	monoatomic dication	definition	
WARN	missing_definition	sulfonium	definition	
WARN	missing_definition	isophthalate(2-)	definition	
WARN	missing_definition	glucitol	definition	
WARN	missing_definition	6-aminopenicillanate	definition	
WARN	missing_definition	Prothionamide	definition	
WARN	missing_definition	streptomycin sulfate	definition	
WARN	missing_definition	ornithinate	definition	
WARN	missing_definition	benzimidazolide	definition	
WARN	missing_definition	oxoacid derivative	definition	
WARN	missing_definition	inorganic hydride	definition	
WARN	missing_definition	diatomic nitrogen	definition	
WARN	missing_definition	elemental nitrogen	definition	
WARN	missing_definition	molecular messenger	definition	
WARN	missing_definition	carbon group element atom	definition	
WARN	missing_definition	zinc group element atom	definition	
WARN	missing_definition	manganese group element atom	definition	
WARN	missing_definition	copper group element atom	definition	
WARN	missing_definition	sulfur oxoacid	definition	
WARN	missing_definition	pnictogen oxoacid	definition	
WARN	missing_definition	sulfur oxoacid derivative	definition	
WARN	missing_definition	monoatomic monoanion	definition	
WARN	missing_definition	elemental chlorine	definition	
WARN	missing_definition	monoatomic chlorine	definition	
WARN	missing_definition	monoatomic halogen	definition	
WARN	missing_definition	elemental halogen	definition	
WARN	missing_definition	pnictogen oxoanion	definition	
WARN	missing_definition	phosphorus oxoanion	definition	
WARN	missing_definition	elemental pnictogen	definition	
WARN	missing_definition	sulfur oxoanion	definition	
WARN	missing_definition	chalcogen oxoacid	definition	
WARN	missing_definition	chalcogen oxoanion	definition	
WARN	missing_definition	alkali metal cation	definition	
WARN	missing_definition	transition element cation	definition	
WARN	missing_definition	sulfur hydride	definition	
WARN	missing_definition	sulfonic acid derivative	definition	
WARN	missing_definition	s-block element atom	definition	
WARN	missing_definition	d-block element atom	definition	
WARN	missing_definition	benzenediols	definition	
WARN	missing_definition	carbon group molecular entity	definition	
WARN	missing_definition	hydrogen molecular entity	definition	
WARN	missing_definition	polycyclic compound	definition	
WARN	missing_definition	organic aromatic compound	definition	
WARN	missing_definition	monocyclic compound	definition	
WARN	missing_definition	cyclic hydrocarbon	definition	
WARN	missing_definition	monocyclic hydrocarbon	definition	
WARN	missing_definition	polycyclic hydrocarbon	definition	
WARN	missing_definition	heteromonocyclic compound	definition	
WARN	missing_definition	zinc group molecular entity	definition	
WARN	missing_definition	oxygen hydride	definition	
WARN	missing_definition	amino-acid cation	definition	
WARN	missing_definition	capreomycin	definition	
WARN	missing_definition	alpha-amino-acid cation	definition	
WARN	missing_definition	manganese group molecular entity	definition	
WARN	missing_definition	copper group molecular entity	definition	
WARN	missing_definition	benzenoid aromatic compound	definition	
WARN	missing_definition	aromatic annulene	definition	
WARN	missing_definition	transition element coordination entity	definition	
WARN	missing_definition	macronutrient	definition	
WARN	missing_definition	halide salt	definition	
WARN	missing_definition	nitrogen hydride	definition	
WARN	missing_definition	manganese coordination entity	definition	
WARN	missing_definition	sulfate salt	definition	
WARN	missing_definition	fused compound	definition	
WARN	missing_definition	homopolycyclic compound	definition	
WARN	missing_definition	ortho-fused polycyclic arene	definition	
WARN	missing_definition	pentoside	definition	
WARN	missing_definition	hexoside	definition	
WARN	missing_definition	hydroxy steroid	definition	
WARN	missing_definition	ortho-fused polycyclic hydrocarbon	definition	
WARN	missing_definition	alkali metal salt	definition	
WARN	missing_definition	natural product fundamental parent	definition	
WARN	missing_definition	steroid fundamental parent	definition	
WARN	missing_definition	cholestane	definition	
WARN	missing_definition	1H-1,2,4-triazole	definition	
WARN	missing_definition	heterocyclic organic fundamental parent	definition	
WARN	missing_definition	mancude organic heteromonocyclic parent	definition	
WARN	missing_definition	1,2,4-triazole	definition	
WARN	missing_definition	3H-1,2,4-triazole	definition	
WARN	missing_definition	mancude organic heterobicyclic parent	definition	
WARN	missing_definition	mancude organic heterocyclic parent	definition	
WARN	missing_definition	organic mancude parent	definition	
WARN	missing_definition	carbon oxoacid	definition	
WARN	missing_definition	thiazolidines	definition	
WARN	missing_definition	dicarboxylic acid anion	definition	
WARN	missing_definition	pnictogen hydride	definition	
WARN	missing_definition	oxo monocarboxylic acid anion	definition	
WARN	missing_definition	7-oxo monocarboxylic acid	definition	
WARN	missing_definition	inorganic chloride	definition	
WARN	missing_definition	naphthalenesulfonic acid	definition	
WARN	missing_definition	phosphorus oxoacid derivative	definition	
WARN	missing_definition	phosphorus oxoacids and derivatives	definition	
WARN	missing_definition	phosphorous acid	definition	
WARN	missing_definition	saturated organic heterocyclic parent	definition	
WARN	missing_definition	saturated organic heteromonocyclic parent	definition	
WARN	missing_definition	zinc group coordination entity	definition	
WARN	missing_definition	zinc coordination entity	definition	
WARN	missing_definition	4H-benzimidazole	definition	
WARN	missing_definition	2H-benzimidazole	definition	
